ltr,tbl,dy,de,bm,tms,dfy,dfr,infl,ntis,ret
0.0031,0.0002,0.062852,0.626168,0.7102,0.0212,0.0177,0.0018,0,0.009415,0.041468
0.0205,0.0002,0.060469,0.632075,0.735215,0.0197,0.0173,-0.0142,0,0.010158,-0.029431
0.0067,0.0002,0.063148,0.638095,0.729048,0.0192,0.0174,-0.009,0.007143,0.012589,0.002927
-0.0201,0.0002,0.063642,0.639242,0.77016,0.0211,0.0163,0.0207,0,0.010853,-0.045555
0.002,0.0004,0.067196,0.640377,0.783799,0.0209,0.0164,-0.0014,0,0.01077,-0.004729
0.0096,0.0011,0.068548,0.641509,0.80427,0.0195,0.0158,-0.0118,0.007092,0.010061,0.008872
0.0129,0.001,0.068608,0.638629,0.85425,0.0186,0.0151,-0.0051,0.007042,0.010482,-0.062152
0.0027,0.0011,0.073756,0.635803,0.849178,0.0184,0.0151,0.0022,0.006993,0.009924,0.013184
0.0066,0.0012,0.073797,0.633028,0.801527,0.0179,0.0154,-0.0003,0.020833,0.008968,0.058851
0.0022,0.0012,0.070389,0.617212,0.766364,0.0179,0.0154,0.0041,0,0.00903,0.057106
0.0018,0.0013,0.067052,0.602304,0.774543,0.0177,0.0153,0.0016,0.013605,0.010725,-0.001113
-0.0012,0.001,0.067961,0.588235,0.778268,0.0183,0.0155,0.006,0.013423,0.010284,-0.007351
0.014,0.0009,0.068954,0.596045,0.837719,0.0173,0.0155,-0.0106,0.013245,0.011687,-0.064602
-0.0029,0.0028,0.074386,0.603989,0.860806,0.0158,0.0156,-0.0065,0.006536,0.010365,-0.024916
-0.0177,0.0033,0.078022,0.612069,0.88951,0.0171,0.0158,0.0183,0.006494,0.010343,-0.038843
0.0069,0.0027,0.080936,0.627976,0.902111,0.022,0.0146,-0.0063,0.012903,0.008935,0.022276
0.0011,0.0025,0.079077,0.645062,0.926065,0.0222,0.0144,-0.0019,0.006369,0.00935,-0.017647
0.0092,0.0025,0.080326,0.663462,1.034864,0.0219,0.0144,-0.0029,0.012658,0.01012,-0.064068
-0.0029,0.0032,0.084894,0.666667,1.080231,0.0214,0.0143,0.0035,0.00625,0.011005,-0.037988
0.0075,0.0037,0.087467,0.67,1.021015,0.0206,0.0142,-0.0055,0.012422,0.010525,0.070339
0.0003,0.0037,0.080982,0.673469,0.99671,0.0207,0.0148,0.0031,0,0.010198,0.023544
0.0018,0.0038,0.077912,0.668966,0.974272,0.0206,0.0147,0.0002,0.006135,0.008486,0.036031
0.0038,0.0038,0.073988,0.664336,0.968682,0.0206,0.0147,-0.0003,0.006098,0.007153,0.015346
0.0003,0.0038,0.071926,0.659574,0.944001,0.0206,0.0146,0.0017,0,0.006244,0.032449
0.0024,0.0038,0.068927,0.628866,0.907489,0.0206,0.0144,-0.0018,0.012121,0.004426,0.067867
-0.0035,0.0038,0.063694,0.6,0.899563,0.0209,0.0146,0.0041,0.005988,0.005096,-0.004392
0.0049,0.0038,0.063509,0.572816,0.862647,0.0208,0.0147,0,0.005952,0.001812,0.057537
0.0033,0.0038,0.060389,0.565497,0.821306,0.0207,0.0137,0.0016,0,0.002088,0.072434
-0.0005,0.0038,0.056351,0.558358,0.794079,0.0208,0.0131,0.0011,0,0.00257,0.058503
0.0009,0.0038,0.053636,0.551402,0.783481,0.0209,0.0125,0.0011,0.017751,0.001892,0.059404
0.0048,0.0038,0.05095,0.546296,0.789784,0.0208,0.012,0.0001,0.011628,0.001251,0.003588
0.005,0.0038,0.050906,0.541284,0.757898,0.0206,0.0117,-0.0002,0.005747,0.000946,0.052698
0.0018,0.0038,0.04872,0.536364,0.746269,0.0206,0.0116,0.003,0,0.0012,0.021689
-0.0001,0.0038,0.048043,0.542684,0.779599,0.0207,0.0112,0.002,-0.005714,0.017824,-0.053092
0.0021,0.0038,0.051085,0.549078,0.783194,0.0207,0.0112,-0.0002,-0.005747,0.013954,0.016232
0.0011,0.0038,0.050847,0.555556,0.763631,0.0208,0.0114,-0.0006,0.00578,0.013693,0.027498
0.0005,0.0038,0.049945,0.583873,0.773736,0.0209,0.0112,-0.0014,0,0.01687,-0.01165
0,0.0038,0.050895,0.614865,0.825808,0.021,0.0112,-0.0023,0,0.019081,-0.067052
0.0018,0.0038,0.055354,0.648936,0.787402,0.021,0.0108,0.0031,0,0.014423,0.070305
0.0021,0.0038,0.052556,0.654804,0.778748,0.021,0.0104,-0.0001,0,0.019253,0.018622
0.0032,0.0038,0.052039,0.660715,0.785033,0.0209,0.0098,0.0002,0,0.019494,0.006479
0.0021,0.0038,0.052453,0.666667,0.813886,0.0209,0.0096,0.0027,0,0.019145,0.021313
0.0013,0.0038,0.051858,0.672661,0.829601,0.021,0.0094,0.0021,0.005747,0.020078,-0.012427
0.0028,0.0038,0.052794,0.678701,0.794432,0.0209,0.009,-0.0023,0,0.018397,0.048841
0.0008,0.0038,0.051012,0.684783,0.761558,0.021,0.0086,0.0012,0.005714,0.018202,0.054574
0.0036,0.0038,0.048793,0.693431,0.77339,0.0209,0.0085,-0.0002,0.005682,0.004323,-0.01947
0.0027,0.0038,0.050092,0.702206,0.76876,0.0209,0.0084,0.0007,0,0.00807,0.0147
0.0014,0.0038,0.049922,0.711111,0.772333,0.0209,0.0084,0.0005,0,0.008963,-0.000692
0.0012,0.0038,0.050078,0.703297,0.771173,0.0209,0.0083,0.0007,0,0.00651,0.002435
0.0024,0.0038,0.050078,0.695652,0.766986,0.0209,0.0081,0.0024,0,0.005783,0.017327
0.0042,0.0038,0.049883,0.688172,0.743764,0.0208,0.0079,0.0107,0.00565,0.019062,0.044778
0.0127,0.0038,0.048444,0.684397,0.735342,0.0202,0.0077,-0.0051,0,0.016454,0.011901
0.0077,0.0038,0.048008,0.680702,0.704489,0.0198,0.0076,-0.0031,0,0.014836,0.069472
0.0021,0.0038,0.045455,0.677083,0.767883,0.0198,0.0076,-0.0003,0,0.015963,-0.041685
0.016,0.0038,0.047654,0.667808,0.715063,0.019,0.0075,-0.0142,0,0.015086,0.090524
0.0056,0.0038,0.043801,0.658784,0.702911,0.0188,0.007,-0.0067,0.005618,0.019773,0.020041
0.0169,0.0038,0.043304,0.65,0.718843,0.0179,0.0068,-0.0137,0.011173,0.019466,0.00238
-0.0086,0.0038,0.043672,0.655518,0.726302,0.0186,0.0066,0.0075,0,0.020437,-0.021539
0.0026,0.0038,0.044793,0.661074,0.678754,0.0185,0.0065,-0.0022,0,0.018945,0.059852
0.0054,0.0038,0.042553,0.666667,0.656821,0.0183,0.0062,-0.0022,0,0.017607,0.046361
0.0104,0.0038,0.040842,0.673469,0.633976,0.0178,0.0058,-0.0072,0,0.018581,0.030815
0.0125,0.0038,0.03964,0.680412,0.617884,0.0172,0.0053,-0.0093,0,0.018934,0.04495
0.0194,0.0038,0.038394,0.6875,0.613239,0.0161,0.0049,-0.0061,0.005525,0.025525,0.011133
0.0025,0.0038,0.038402,0.70922,0.578004,0.0161,0.0047,0.0103,0,0.027969,0.069504
0.0032,0.0038,0.036259,0.731884,0.622337,0.016,0.0047,0.0002,-0.005495,0.031091,-0.065171
0.001,0.0038,0.039352,0.755556,0.614853,0.016,0.0047,0.0024,0.01105,0.031188,0.049118
-0.0135,0.0038,0.037611,0.772727,0.593413,0.0169,0.005,0.0092,0.005464,0.031307,0.035748
-0.0012,0.0038,0.036247,0.790698,0.57801,0.0171,0.0051,0.0031,0.005435,0.032,0.028785
0.007,0.0038,0.035454,0.809524,0.596732,0.0168,0.0054,-0.0051,0.010811,0.033592,-0.035289
-0.004,0.0038,0.037077,0.797665,0.608752,0.0171,0.0055,0.0028,0.058824,0.039175,-0.02735
-0.0111,0.0038,0.038233,0.78626,0.648554,0.0179,0.0052,0.0023,0.020202,0.043268,-0.068855
-0.0009,0.0038,0.041441,0.775281,0.711634,0.0181,0.0052,-0.0017,0.009901,0.049112,-0.104113
0.0074,0.0038,0.046569,0.735916,0.725392,0.0178,0.0055,-0.0054,0.019608,0.048597,-0.005636
-0.0054,0.0038,0.047394,0.700999,0.7227,0.0182,0.0058,0.0029,0.024038,0.048072,-0.003801
0.0145,0.0038,0.048398,0.669811,0.692438,0.0174,0.0056,-0.0032,0.00939,0.036076,0.046818
-0.0006,0.0038,0.046623,0.631268,0.680004,0.0176,0.0056,0.0011,0,0.031538,0.022013
0.0021,0.0038,0.045764,0.597223,0.685858,0.0176,0.0057,-0.0016,0,0.030103,-0.008307
0.002,0.0038,0.046662,0.566929,0.741535,0.0175,0.006,0.0047,0.018605,0.03102,-0.015008
-0.0037,0.0038,0.048341,0.552762,0.770042,0.0179,0.0063,0.0057,0,0.031346,-0.03956
0.0033,0.0038,0.051212,0.539761,0.776366,0.0178,0.0064,-0.0013,0,0.025894,-0.00099
0.001,0.0038,0.052595,0.527778,0.741117,0.0178,0.0066,-0.0006,0.004566,0.026473,0.053991
0.0063,0.0066,0.050625,0.521444,0.717327,0.0148,0.0063,-0.0043,0.009091,0.020641,0.039572
0.0081,0.0075,0.049492,0.51542,0.734694,0.0135,0.0061,-0.0152,0.013514,0.023177,-0.023076
-0.0044,0.008,0.051567,0.509677,0.740323,0.0133,0.0062,-0.0087,0.022222,0.024059,-0.009928
-0.0037,0.0085,0.053386,0.513801,0.722733,0.0132,0.0065,-0.0062,0,0.023019,0.020578
